,Date,SX5E,Value
511,1992/1/10,-1.8091680618307542,-0.0265456
512,1992/1/13,-1.8101917208916412,-0.02642195
513,1992/1/14,-1.8058728545680904,-0.026380762
514,1992/1/15,-1.8051416695245999,-0.026339456
515,1992/1/16,-1.800803304933223,-0.026298359
516,1992/1/17,-1.8128337361821198,-0.026257083
517,1992/1/20,-1.8223781382831492,-0.026133493
518,1992/1/21,-1.8355394690659779,-0.026092365
519,1992/1/22,-1.8397315966486563,-0.026051149
520,1992/1/23,-1.8452203590417917,-0.026009932
521,1992/1/24,-1.8336578862207287,-0.025968745
522,1992/1/27,-1.8329072029094118,-0.025845274
523,1992/1/28,-1.8409502383878071,-0.025804117
524,1992/1/29,-1.8397218475147434,-0.02576296
525,1992/1/30,-1.8416131794939055,-0.025721803
526,1992/1/31,-1.829417012968484,-0.025680646
527,1992/2/3,-1.8552229704367416,-0.025557235
528,1992/2/4,-1.8613161791324955,-0.025516108
529,1992/2/5,-1.862905287960348,-0.02547492
530,1992/2/6,-1.8543163009828132,-0.025433794
531,1992/2/7,-1.8535558685375833,-0.025392696
532,1992/2/10,-1.8455128330591881,-0.025269374
533,1992/2/11,-1.8512063272645003,-0.025228247
534,1992/2/12,-1.8517912752992929,-0.02518715
535,1992/2/13,-1.8326634745615817,-0.025146082
536,1992/2/14,-1.8289295562728236,-0.025104925
537,1992/2/18,-1.8335019000781176,-0.024940535
538,1992/2/19,-1.8360951696990302,-0.024899438
539,1992/2/20,-1.8394781191669132,-0.0248584
